Unnamed: 0,symbol,date,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
191,AAPL,2016-02-29 00:00:00+00:00,98.23,96.65,96.86,35216277,90.3733181812,91.8127111897,90.3359313498,90.5322122146,35216277,0.0,1.0
546,AAPL,2017-07-26 00:00:00+00:00,153.93,153.06,153.35,15172136,147.0685422956,147.518967259,146.6852019013,146.96312368719998,15172136,0.0,1.0
515,AAPL,2017-06-12 00:00:00+00:00,146.09,142.51,145.74,71563614,139.363400369,140.00549552959998,136.5745990001,139.6700726845,71563614,0.0,1.0
658,AAPL,2018-01-04 00:00:00+00:00,173.47,172.08,172.54,22211345,167.0965929362,167.5215048063,166.1791695802,166.62339562620002,22211345,0.0,1.0
1031,AAPL,2019-07-01 00:00:00+00:00,204.49,200.65,203.17,27316739,199.1794995233,202.0849211487,198.2900847401,200.7804461332,27316739,0.0,1.0
828,AAPL,2018-09-07 00:00:00+00:00,225.37,220.71,221.85,37619810,216.1604246172,220.1359010212,215.584127055,216.6976511583,37619810,0.0,1.0
1054,AAPL,2019-08-02 00:00:00+00:00,206.43,201.63,205.53,40862122,201.6204489841,204.002104126,199.2585586152,203.1126893428,40862122,0.0,1.0
480,AAPL,2017-04-21 00:00:00+00:00,142.68,141.85,142.44,17320928,135.78891424399998,136.1802367634,135.3880472728,135.9511699228,17320928,0.0,1.0
959,AAPL,2019-03-19 00:00:00+00:00,188.99,185.92,188.35,31646369,183.6191111322,186.0407216687,183.0186304707,185.4107091714,31646369,0.0,1.0
1183,AAPL,2020-02-06 00:00:00+00:00,325.22,320.2648,322.57,26356385,323.5738686059,323.5838182959,318.6535479054,320.947150445,26356385,0.0,1.0
283,AAPL,2016-07-11 00:00:00+00:00,97.65,96.73,96.75,23794945,91.1985049743,91.828562701,90.9634088077,90.982216501,23794945,0.0,1.0
1080,AAPL,2019-09-10 00:00:00+00:00,216.78,211.71,213.86,31777931,214.9717365186,215.0510984887,210.0215336333,212.1543865799,31777931,0.0,1.0
797,AAPL,2018-07-25 00:00:00+00:00,194.85,192.43,193.0602,16826483,189.6283786971,189.6575792482,187.3020681279,187.9154743709,16826483,0.0,1.0
1250,AAPL,2020-05-13 00:00:00+00:00,315.95,303.21,312.15,50155639,307.65,315.95,303.21,312.15,50155639,0.0,1.0
225,AAPL,2016-04-18 00:00:00+00:00,108.95,106.94,108.89,60821461,100.458415949,101.8323820027,99.9536937252,101.7763017556,60821461,0.0,1.0
26,AAPL,2015-07-02 00:00:00+00:00,126.69,125.77,126.43,27210952,116.5174188669,116.7477997173,115.899998188,116.5082036329,27210952,0.0,1.0
282,AAPL,2016-07-08 00:00:00+00:00,96.89,96.05,96.49,28912103,90.9163895743,91.1138703543,90.3239472343,90.7377164877,28912103,0.0,1.0
1204,AAPL,2020-03-09 00:00:00+00:00,278.09,263.0,263.75,71686208,265.4680884387,277.3566544461,262.306447982,263.0544701721,71686208,0.0,1.0
437,AAPL,2017-02-17 00:00:00+00:00,135.83,135.1,135.1,22198197,129.5372983847,129.6422873533,128.9455423797,128.9455423797,22198197,0.0,1.0
1222,AAPL,2020-04-02 00:00:00+00:00,245.15,236.9,240.34,41483493,244.2841000161,244.5035198585,236.2752757678,239.7062042129,41483493,0.0,1.0
364,AAPL,2016-11-02 00:00:00+00:00,112.35,111.23,111.4,28331709,105.5025045448,106.2210447675,105.1621433867,105.3228694891,28331709,0.0,1.0
229,AAPL,2016-04-22 00:00:00+00:00,106.48,104.62,105.01,33683121,98.7760085364,99.5237451642,97.7852575045,98.1497791106,33683121,0.0,1.0
37,AAPL,2015-07-20 00:00:00+00:00,132.97,130.7,130.97,58900203,121.7055956165,122.5349666777,120.4431085567,120.691919875,58900203,0.0,1.0
669,AAPL,2018-01-22 00:00:00+00:00,177.78,176.6016,177.3,26023683,170.93045685549998,171.6837097162,170.54571847120002,171.2201694942,26023683,0.0,1.0
749,AAPL,2018-05-16 00:00:00+00:00,188.46,186.0,186.07,19183064,183.165323392,183.4378618687,181.0434166803,181.1115512995,19183064,0.0,1.0
469,AAPL,2017-04-05 00:00:00+00:00,145.46,143.81,144.22,27717854,137.4591932903,138.8335943342,137.2587598048,137.6500823242,27717854,0.0,1.0
1075,AAPL,2019-09-03 00:00:00+00:00,206.98,204.22,206.43,20059574,204.0594656293,205.329257151,202.59126918240003,204.7836436065,20059574,0.0,1.0
1236,AAPL,2020-04-23 00:00:00+00:00,281.75,274.87,275.87,31203582,274.3047239106,281.0070027336,274.1451458434,275.1425087635,31203582,0.0,1.0
687,AAPL,2018-02-15 00:00:00+00:00,173.09,169.0,169.79,50609595,167.7308532595,167.8278131146,163.8621550428,164.6281378978,50609595,0.0,1.0
639,AAPL,2017-12-06 00:00:00+00:00,170.2047,166.46,167.5,28224357,163.21444357709998,164.3681758754,160.7518861478,161.75622329540002,28224357,0.0,1.0
1089,AAPL,2019-09-23 00:00:00+00:00,219.84,217.65,218.95,19419648,216.9756262637,218.0866938451,215.9141599135,217.2037919277,19419648,0.0,1.0
1115,AAPL,2019-10-29 00:00:00+00:00,249.75,242.57,248.97,35709867,241.3496713318,247.7581504177,240.6354136009,246.9843712092,35709867,0.0,1.0
1140,AAPL,2019-12-04 00:00:00+00:00,263.31,260.68,261.07,16810388,260.42318615330004,261.9852874839,259.36851901290004,259.7565569231,16810388,0.0,1.0
800,AAPL,2018-07-30 00:00:00+00:00,192.2,189.07,191.9,21029535,184.8492218374,187.0781972363,184.0316064073,186.7861917256,21029535,0.0,1.0
160,AAPL,2016-01-13 00:00:00+00:00,101.19,97.3,100.32,62439631,90.5402077303,94.0729399346,90.4565377571,93.2641301931,62439631,0.0,1.0
956,AAPL,2019-03-14 00:00:00+00:00,184.1,182.56,183.9,23579508,180.8628064564,181.2270324314,179.7110648597,181.030153526,23579508,0.0,1.0
821,AAPL,2018-08-28 00:00:00+00:00,220.54,218.92,219.01,22776766,214.5975837705,215.418075215,213.8356988577,213.9236086553,22776766,0.0,1.0
1068,AAPL,2019-08-22 00:00:00+00:00,214.435,210.75,213.19,22267819,210.7655521031,212.72480074,209.0691899921,211.4897300803,22267819,0.0,1.0
877,AAPL,2018-11-15 00:00:00+00:00,191.97,186.9,188.39,46478801,187.6192357383,188.1681452624,183.1985536779,184.6590450903,46478801,0.0,1.0
913,AAPL,2019-01-10 00:00:00+00:00,153.97,150.86,152.5,35780670,150.7540800196,150.920713268,147.8723050179,149.47982576709998,35780670,0.0,1.0
152,AAPL,2015-12-31 00:00:00+00:00,107.03,104.82,107.01,40912316,97.8566820587,99.5021915328,97.4476288561,99.4835982054,40912316,0.0,1.0
1149,AAPL,2019-12-17 00:00:00+00:00,281.77,278.8,279.57,28575798,278.99925739,280.3524152304,277.3973572994,278.1634834297,28575798,0.0,1.0
509,AAPL,2017-06-02 00:00:00+00:00,155.45,152.89,153.58,27285861,148.9756607576,148.9756607576,146.5222822337,147.1835444139,27285861,0.0,1.0
1055,AAPL,2019-08-05 00:00:00+00:00,198.649,192.58,197.99,52392969,191.0660602225,196.3126192052,190.3149988499,195.6613699361,52392969,0.0,1.0
103,AAPL,2015-10-21 00:00:00+00:00,115.58,113.7,114.0,42326974,105.3059921153,106.9907398794,105.2504509802,105.5281566556,42326974,0.0,1.0
586,AAPL,2017-09-21 00:00:00+00:00,155.8,152.75,155.8,36643382,147.5977165366,149.9167105835,146.9818840926,149.9167105835,36643382,0.0,1.0
1112,AAPL,2019-10-24 00:00:00+00:00,244.8,241.805,244.51,17916255,241.6373584734,242.8476285175,239.8765147617,242.5599413759,17916255,0.0,1.0
53,AAPL,2015-08-11 00:00:00+00:00,118.18,113.33,117.81,97082814,105.0560570074,109.3975223997,104.9079473139,109.0550187333,97082814,0.0,1.0
151,AAPL,2015-12-30 00:00:00+00:00,108.7,107.18,108.58,25213777,99.7717947799,101.0547343699,99.6416414882,100.9431744056,25213777,0.0,1.0
403,AAPL,2016-12-29 00:00:00+00:00,117.1095,116.4,116.45,15039519,110.9348670667,111.2955265549,110.6212501205,110.6687678396,15039519,0.0,1.0
207,AAPL,2016-03-22 00:00:00+00:00,107.29,105.21,105.25,32444375,99.7480661526,100.2808284999,98.3367132676,98.3741000989,32444375,0.0,1.0
1189,AAPL,2020-02-14 00:00:00+00:00,325.98,322.85,324.73,20028447,324.0930808812,325.1203646889,321.998618749,323.87366103880004,20028447,0.0,1.0
8,AAPL,2015-06-08 00:00:00+00:00,129.21,126.83,128.9,52674786,117.7706906928,119.0700386887,116.8768129934,118.7843664342,52674786,0.0,1.0
1014,AAPL,2019-06-06 00:00:00+00:00,185.47,182.1489,183.08,22526311,183.0415624,183.288622062,180.00658268779998,180.926731693,22526311,0.0,1.0
452,AAPL,2017-03-13 00:00:00+00:00,139.43,138.82,138.85,17421717,132.85876757399998,133.078289963,132.4960784097,132.5247117648,17421717,0.0,1.0
253,AAPL,2016-05-26 00:00:00+00:00,100.73,98.64,99.68,56331159,94.424024381,94.7249474744,92.759543521,93.7375435744,56331159,0.0,1.0
896,AAPL,2018-12-14 00:00:00+00:00,169.08,165.28,169.0,40703710,162.20276438,165.7314684637,162.0067252642,165.6530528173,40703710,0.0,1.0
1100,AAPL,2019-10-08 00:00:00+00:00,228.06,224.33,225.82,29282700,222.610326141,226.2411362733,222.5408844172,224.0190011104,29282700,0.0,1.0
880,AAPL,2018-11-20 00:00:00+00:00,181.47,175.51,178.37,67825247,173.47501353619998,177.876091685,172.03412603529998,174.8374853907,67825247,0.0,1.0
1187,AAPL,2020-02-12 00:00:00+00:00,327.22,321.47,321.47,28432573,326.3371474514,326.3570947098,320.6222579193,320.6222579193,28432573,0.0,1.0
623,AAPL,2017-11-13 00:00:00+00:00,174.5,173.4,173.5,16828025,168.0043592042,168.516184866,167.45390519059998,167.5504760702,16828025,0.0,1.0
345,AAPL,2016-10-06 00:00:00+00:00,114.34,113.13,113.7,28779313,107.6770341662,108.1024856139,106.9584939435,107.4973991105,28779313,0.0,1.0
1081,AAPL,2019-09-11 00:00:00+00:00,223.71,217.73,218.07,44289646,221.8067861937,221.9258291489,215.9935218836,216.3308102566,44289646,0.0,1.0
262,AAPL,2016-06-09 00:00:00+00:00,99.99,98.46,98.5,26601354,93.7093320344,94.029062821,92.590274281,92.6278896677,26601354,0.0,1.0
150,AAPL,2015-12-29 00:00:00+00:00,109.43,106.86,106.96,30931243,101.0919210247,101.7333908197,99.3441482499,99.4371148869,30931243,0.0,1.0
472,AAPL,2017-04-10 00:00:00+00:00,143.8792,142.9,143.6,18933397,136.64791489639998,137.3248074105,136.3902147007,137.0583263192,18933397,0.0,1.0
640,AAPL,2017-12-07 00:00:00+00:00,170.44,168.91,169.03,24469613,163.5138133038,164.5954071551,163.1178726975,163.233757753,24469613,0.0,1.0
1246,AAPL,2020-05-07 00:00:00+00:00,305.17,301.97,303.22,28803764,302.9390133462,304.3652423219,301.1736809776,302.4203846278,28803764,0.0,1.0
1237,AAPL,2020-04-24 00:00:00+00:00,283.01,277.0,277.2,31627183,282.2237854961,282.2636800129,276.2695288632,276.4690014472,31627183,0.0,1.0
550,AAPL,2017-08-01 00:00:00+00:00,150.22,148.41,149.1,24725526,143.8005654337,143.9634851013,142.2288698168,142.8901319971,24725526,0.0,1.0
928,AAPL,2019-02-01 00:00:00+00:00,168.98,165.93,166.96,32668138,163.2221677819,165.6334489058,162.6438523904,163.6534538366,32668138,0.0,1.0
488,AAPL,2017-05-03 00:00:00+00:00,147.49,144.27,145.59,45142806,140.3607066052,140.771118028,137.6978045827,138.95767220620002,45142806,0.0,1.0
1133,AAPL,2019-11-22 00:00:00+00:00,263.18,260.84,262.59,16331263,260.46298491330003,261.8559415138,259.527714053,261.2689098036,16331263,0.0,1.0
146,AAPL,2015-12-22 00:00:00+00:00,107.72,106.451,107.4,32789367,99.6881248067,100.1436613277,98.9639147048,99.8461680895,32789367,0.0,1.0
402,AAPL,2016-12-28 00:00:00+00:00,118.0166,116.2,117.52,20905892,110.9633776982,112.1575930152,110.431179244,111.6856470289,20905892,0.0,1.0
954,AAPL,2019-03-12 00:00:00+00:00,182.67,179.37,180.0,32467584,178.0868138901,179.8193482577,176.57084631840002,177.1910148705,32467584,0.0,1.0
